state,性別,身份別（學生身份須持有學生證）,居住地區,飲食習慣,是否曾參加過 SITCON 2013,您是開發者嗎？,您認為自己的整體軟體開發程度如何?,您擅長下列哪些項目？(多選)
activated,不公開,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發, 行動平台"
activated,男生,國小生,北部,葷,否,否,,
activated,男生,研究所生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,其他類型
activated,女生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發, 行動平台"
activated,男生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發, 行動平台"
activated,女生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,南部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"硬體控制, 網站開發"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"網站開發, 行動平台"
activated,男生,高中生,北部,葷,否,否,,
activated,男生,研究所生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"硬體控制, 系統管理"
activated,男生,大學生,中部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體"
activated,男生,大學生,南部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,大學生,北部,葷,否,否,,
activated,男生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,北部,葷,否,否,,
activated,男生,大學生,東部,葷,否,否,,
activated,男生,大學生,中部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 網站開發"
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發"
activated,男生,高中生,北部,葷,否,否,,
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 網站開發"
activated,男生,高中生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 行動平台"
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,大學生,南部,葷,否,否,,
activated,女生,研究所生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,女生,大學生,南部,葷,否,否,,
activated,女生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體, 行動平台"
activated,女生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發, 行動平台"
activated,男生,大學生,中部,素,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,研究所生,中部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 網站開發"
activated,男生,社會人士,中部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發"
activated,男生,大學生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,高中生,北部,葷,否,否,,
activated,男生,大學生,北部,素,是,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,大學生,中部,葷,否,否,,
activated,男生,大學生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,
activated,男生,大學生,南部,葷,否,否,,
activated,男生,國中生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,其他類型
activated,女生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"網站開發, 行動平台"
activated,男生,大學生,北部,葷,是,否,,
activated,男生,大學生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,"硬體控制, 系統管理, 應用軟體, 行動平台"
activated,男生,大學生,北部,葷,否,否,,
activated,不公開,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"其他類型, 硬體控制, 系統管理, 應用軟體, 網站開發, 行動平台"
activated,男生,大學生,北部,葷,是,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,應用軟體
activated,男生,大學生,北部,素,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,大學生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,"硬體控制, 系統管理, 網站開發"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,大學生,中部,葷,是,否,,行動平台
activated,男生,高中生,北部,素,是,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,高中生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,中部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"其他類型, 硬體控制, 應用軟體"
activated,男生,大學生,南部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"系統管理, 行動平台"
activated,女生,研究所生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,
activated,男生,高中生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"網站開發, 行動平台"
activated,女生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,行動平台
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"硬體控制, 系統管理, 應用軟體"
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,是,否,,
activated,男生,研究所生,北部,葷,是,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"其他類型, 應用軟體, 網站開發, 行動平台"
activated,男生,大學生,北部,葷,是,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"硬體控制, 應用軟體, 行動平台"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"網站開發, 行動平台"
activated,男生,研究所生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"其他類型, 應用軟體"
activated,男生,大學生,中部,葷,否,否,,
activated,男生,大學生,南部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,大學生,南部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體, 網站開發"
activated,男生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),進階：擁有豐富的經驗可以給予他人適當建議,"其他類型, 系統管理, 網站開發"
activated,男生,研究所生,中部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,系統管理
activated,男生,大學生,中部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,社會人士,中部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,應用軟體
activated,女生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,大學生,南部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,行動平台
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 行動平台"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,其他,葷,否,否,入門：對程式有基礎概念仍不知如何運用,
activated,男生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,行動平台
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 行動平台"
activated,不公開,社會人士,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體, 網站開發, 行動平台"
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"硬體控制, 系統管理, 應用軟體, 網站開發, 行動平台"
activated,男生,高中生,北部,葷,否,否,,
activated,男生,研究所生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,女生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,應用軟體
activated,男生,社會人士,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"系統管理, 應用軟體, 網站開發"
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發"
activated,女生,大學生,中部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 行動平台"
activated,女生,大學生,南部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"網站開發, 行動平台"
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 網站開發, 行動平台"
activated,男生,大學生,南部,素,否,否,,
activated,男生,大學生,南部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"應用軟體, 網站開發"
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 網站開發"
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,研究所生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,大學生,南部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發"
activated,男生,大學生,北部,素,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,中部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,其他類型
activated,男生,大學生,中部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,女生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,女生,大學生,南部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,
activated,不公開,高中生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,系統管理
activated,男生,大學生,中部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,社會人士,中部,葷,否,否,,
activated,男生,大學生,中部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,"其他類型, 網站開發"
activated,男生,大學生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,大學生,中部,葷,是,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,
activated,男生,高中生,北部,葷,是,否,,
activated,女生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,行動平台
activated,男生,高中生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,其他類型
activated,女生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,中部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,
activated,男生,大學生,北部,葷,否,否,,
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"系統管理, 應用軟體"
activated,男生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,"系統管理, 應用軟體"
activated,女生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,其他類型
activated,男生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,硬體控制
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,硬體控制
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,不公開,大學生,北部,葷,否,否,,
activated,女生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,女生,大學生,北部,葷,否,否,初學：能夠將書上的範例改寫成自己的程式,
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,女生,大學生,北部,葷,是,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,大學生,南部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,網站開發
activated,男生,高中生,北部,葷,否,否,,
activated,男生,高中生,中部,葷,是,是(續答下兩題),進階：擁有豐富的經驗可以給予他人適當建議,硬體控制
activated,男生,大學生,中部,葷,否,否,,
activated,男生,高中生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"應用軟體, 網站開發"
activated,男生,大學生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"系統管理, 網站開發, 行動平台"
activated,男生,研究所生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"其他類型, 應用軟體"
activated,男生,大學生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"其他類型, 行動平台"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,"應用軟體, 網站開發"
activated,女生,大學生,北部,葷,否,否,,
activated,男生,大學生,北部,葷,是,否,,
activated,男生,大學生,南部,葷,是,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,應用軟體
activated,女生,大學生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,
activated,男生,社會人士,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,其他類型
activated,男生,大學生,中部,素,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,硬體控制
activated,男生,大學生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體"
activated,男生,大學生,北部,葷,是,是(續答下兩題),熟練：我能夠獨自完成一套軟體,網站開發
activated,男生,大學生,北部,葷,否,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,
activated,不公開,高中生,北部,葷,是,否,,
activated,男生,大學生,北部,葷,否,否,,
activated,不公開,大學生,北部,葷,是,是(續答下兩題),入門：對程式有基礎概念仍不知如何運用,應用軟體
activated,女生,大學生,中部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,行動平台
activated,男生,社會人士,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,"系統管理, 應用軟體, 網站開發"
activated,男生,大學生,北部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,女生,大學生,南部,葷,否,是(續答下兩題),初學：能夠將書上的範例改寫成自己的程式,網站開發
activated,男生,大學生,北部,葷,否,否,入門：對程式有基礎概念仍不知如何運用,
activated,女生,研究所生,北部,葷,否,是(續答下兩題),熟練：我能夠獨自完成一套軟體,應用軟體
activated,男生,研究所生,北部,葷,否,否,,
